predict,predictor
-500.0,518.9452275191009
-500.0,563.8609651668442
-500.0,447.4796671026372
-499.7999599919984,438.06951803921424
-499.1998399679936,564.7809253115885
-498.999799959992,528.4351874449297
-498.5997199439888,361.2856827775475
-498.3996799359872,567.9067968694636
-498.1996399279856,386.99584705381415
-498.1996399279856,617.8437688465405
-497.7995599119824,566.6855736208352
-497.7995599119824,528.0975353412481
-497.5995199039808,427.0529925699973
-497.5995199039808,595.3968163597522
-497.5995199039808,478.6700026493759
-497.1994398879776,489.1429542809647
-497.1994398879776,461.79834196772896
-497.1994398879776,497.55895375602597
-496.7993598719744,391.80756657397353
-496.7993598719744,478.8893701041067
-496.59931986397277,376.33229668506726
-496.3992798559712,521.8561848395451
-496.1992398479696,361.1266456428581
-495.999199839968,582.4428147357323
-495.7991598319664,452.7579032825788
-495.7991598319664,596.1143521553512
-495.59911982396477,613.9766597526491
-495.59911982396477,592.3049757494949
-495.3990798159632,397.2339923606968
-495.3990798159632,540.9034522220278
-495.1990398079616,415.3865392566622
-494.99899979996,342.2731347336519
-494.99899979996,543.4128753437772
-494.99899979996,401.1119680470839
-494.99899979996,415.3366006621199
-494.5989197839568,544.9877912142165
-494.5989197839568,364.3436460846466
-494.1988397679536,627.0456435118554
-494.1988397679536,442.65228694451525
-493.99879975995196,343.81260009838496
-493.7987597519504,357.91302379080673
-493.5987197439488,636.1856305371365
-493.1986397279456,495.5068936335966
-492.99859971994397,476.06579753443737
-492.99859971994397,373.13348735555627
-492.7985597119424,558.5163418920752
-492.1984396879376,542.3000587615827
-491.99839967993597,515.6308283796343
-491.7983596719344,337.8405525265752
-491.7983596719344,415.3871423816628
-491.5983196639328,349.27326828035257
-490.998199639928,575.9137400892525
-490.7981596319264,632.0543447223408
-490.5981196239248,486.714738156821
-490.5981196239248,531.7493510773581
-490.39807961592317,409.7049572434854
-490.39807961592317,337.8701246798999
-489.79795959191836,351.8295504074217
-489.79795959191836,515.0828065611977
-489.79795959191836,450.40271453971224
-489.39787957591517,585.8705494755804
-489.39787957591517,578.600628170094
-489.1978395679136,459.6941749544224
-488.997799559912,470.2544544290243
-488.79775955191036,437.6304539250002
-488.79775955191036,449.7634465584273
-488.5977195439088,617.7185335382401
-488.3976795359072,406.7369032222434
-488.1976395279056,424.63864541808664
-487.997599519904,553.5571146487097
-487.3974794958992,385.1515212311539
-487.19743948789755,513.9168833206356
-486.997399479896,457.18396594848605
-486.5973194638928,513.4175066899962
-486.3972794558912,544.2240780237114
-485.997199439888,361.08376643305434
-484.7969593918784,566.7066691525744
-484.59691938387675,628.5621546937132
-484.59691938387675,372.1393615550912
-484.59691938387675,375.1368527863931
-484.3968793758752,420.0324369748612
-484.3968793758752,333.59015766863615
-484.19683936787357,428.9708719983869
-483.7967593518704,417.8668378737105
-483.59671934386876,427.05055992372047
-483.3966793358672,380.6082348485485
-483.19663932786557,403.1645228325627
-482.99659931986395,578.2262710067325
-482.99659931986395,436.0961346685643
-482.59651930386076,364.0254517391225
-482.1964392878576,457.6535030003513
-482.1964392878576,534.8821963171448
-482.1964392878576,400.1395351747045
-481.99639927985595,627.1884530260725
-481.99639927985595,625.3139283421463
-481.7963592718544,549.2600823223977
-481.7963592718544,365.75815529944913
-481.1962392478496,379.7652927087243
